resource_id	category	status	declared_license	declared_tier	inferred_license	inferred_tier	inferred_from	unresolved_sources
rnacentral	Aggregator	conflict	https://creativecommons.org/publicdomain/zero/1.0/	public domain	https://creativecommons.org/licenses/by-nc/4.0/	non-commercial	genecards|lncipedia|noncode	5srrnadb|crd|dictybase|ena|evlncrnas|greengenes|gtrnadb|lncbase|lncbook|lncrnadb|malacards|mgnify|mirgenedb|modomics|pirbase|plncdb|rediportal|rgd|silva|snodb|snopy|snornadatabase|srpdb|tair|tarbase|zwd
robokop	KnowledgeGraph	no-upstream	https://opensource.org/licenses/MIT	permissive				
rtx-kg2	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by/4.0/	permissive	https://www.disgenet.com/Legal	custom	disgenet|kegg|semmeddb|umls	smpdb
ruralkg	KnowledgeGraph	inferred			https://www.usa.gov/government-works	public domain	national-directory-mental-health-facilities|nibrs|nsduh|rural-urban-continuum-codes	
sawgraph	KnowledgeGraph	inferred			US federal government public domain	public domain	epa-frs|epa-ghg|epa-sdwis|epa-ucmr|maine-egad|water-quality-portal	
scales	KnowledgeGraph	inferred			U.S. Government Work (public domain records; PACER access subject to per-page usage fees)	public domain	pacer	
securechainkg	KnowledgeGraph	declared	https://opensource.org/licenses/Apache-2.0	permissive	https://opensource.org/licenses/Apache-2.0	permissive	osv	cargo|maven-central|npm|nuget|pypi|rubygems
semopenalex	KnowledgeGraph	inferred			https://creativecommons.org/publicdomain/zero/1.0/	public domain	openalex	
service-kp	KnowledgeGraph	no-upstream	https://opensource.org/licenses/Apache-2.0	permissive				
skm	KnowledgeGraph	conflict	http://creativecommons.org/licenses/by-nc-sa/3.0/	non-commercial	https://biocyc.org/download.shtml	custom	biocyc|kegg|metacyc	araport|gomapman|tair
sldb	KnowledgeGraph	no-upstream						
sniff	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive	http://creativecommons.org/licenses/by/4.0/	permissive	canvas|ensembl|mondo	darwins-ark|dog10k
sockg	KnowledgeGraph	inferred			U.S. Government Work (public domain)	public domain	agcros	
spatialkg	KnowledgeGraph	inferred			US federal government public domain	public domain	sawgraph	
spoke	KnowledgeGraph	declared	https://spoke.rbvi.ucsf.edu/docs/licenses.html	custom	https://www.bv-brc.org/about	custom	bv-brc|kegg|metacyc|omim|protcid	lincs-l1000|pathophenodb|pid
spoke-genelab	KnowledgeGraph	no-upstream						
spoke-okn	KnowledgeGraph	declared	https://spoke.rbvi.ucsf.edu/docs/licenses.html	custom	https://spoke.rbvi.ucsf.edu/docs/licenses.html	custom	spoke	
sri-reference-kg	KnowledgeGraph	inferred			https://www.alliancegenome.org/privacy-warranty-licensing	custom	alliance|ctd|goa|omim|xenbase	cureid|decipher|dictybase|icd11|mmrrc|panther|rgd
sudokn	KnowledgeGraph	no-upstream						
suppkg	KnowledgeGraph	inferred			https://creativecommons.org/licenses/by/4.0/	permissive	chebi|uniprot	
tbkg	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://www.ncbi.nlm.nih.gov/home/about/policies/	public domain	pubmed	
tera	KnowledgeGraph	declared	https://opensource.org/licenses/MIT	permissive	https://creativecommons.org/licenses/by/4.0/	permissive	chebi|mesh	
text-mining-kp	KnowledgeGraph	inferred			https://opensource.org/license/mit/	permissive	translator	
tissues	Aggregator	no-upstream	https://creativecommons.org/licenses/by/4.0/	permissive				
toxin	KnowledgeGraph	no-upstream	https://creativecommons.org/licenses/by/4.0/	permissive				
translator	Aggregator	conflict	https://opensource.org/license/mit/	permissive	https://www.ebi.ac.uk/about/terms-of-use/	custom	alliance|ctd|gene2phenotype|goa|icees-kg|semmeddb	cohd|panther
ttd	Aggregator	conflict	https://idrblab.org/ttd/	non-commercial	https://www.kegg.jp/feedback/copyright.html	custom	kegg	
ubergraph	KnowledgeGraph	no-upstream	https://creativecommons.org/licenses/by/4.0/	permissive				
ubkg	KnowledgeGraph	declared	https://uts.nlm.nih.gov/uts/assets/LicenseAgreement.pdf	custom	https://data.4dnucleome.org/help/user-guide/faq#downloading-and-using-data-from-the-4dn-data-portal	custom	4dn|disgenet|gtex|loinc|msigdb|snomedct|umls	connectivitymap|glycocoo|glycordf|icd10|kidsfirst|lincs|mw|npo|pgo|sckan|sennet
uf-okn	KnowledgeGraph	inferred			Open Database License (ODbL) 1.0	copyleft	openstreetmap	
umls	Aggregator	no-upstream	https://uts.nlm.nih.gov/uts/	custom				
unibiomap	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by-nc/4.0/	non-commercial	https://ctdbase.org/about/legal.jsp	custom	ctd|kegg|medgen|omim|umls|unichem	batman|phosphositeplus|smpdb|tcdb
unichem	Aggregator	no-upstream	https://www.ebi.ac.uk/about/terms-of-use/	custom				
who	Aggregator	no-upstream						
wikidata	KnowledgeGraph	no-upstream	https://creativecommons.org/publicdomain/zero/1.0/	public domain				
wildlifekn	KnowledgeGraph	inferred			https://www.cabidigitallibrary.org/terms-and-conditions	custom	cabi-isc	edrr-invasive-catalog|iucn-red-list|worldclim
